Khaunga  A,2087,Mumias,East Wanga,Khaunga,Mahola
Mahola  A,2088,Mumias,East Wanga,Khaunga,Mahola
Mahola  B,2089,Mumias,East Wanga,Khaunga,Mahola
Mahola  Upper,2090,Mumias,East Wanga,Khaunga,Mahola
Neolola,2091,Mumias,East Wanga,Khaunga,Mahola
Elubini,2092,Mumias,East Wanga,Lubinu,Lubinu
Elwakana  A,2093,Mumias,East Wanga,Lubinu,Lubinu
Elwakana  B,2094,Mumias,East Wanga,Lubinu,Lubinu
Elwasambi,2095,Mumias,East Wanga,Lubinu,Lubinu
Emalingana,2096,Mumias,East Wanga,Lubinu,Lubinu
Emulakha,2097,Mumias,East Wanga,Lubinu,Lubinu
Emusaka,2098,Mumias,East Wanga,Lubinu,Lubinu
Khunyiri,2099,Mumias,East Wanga,Lubinu,Lubinu
Mulwanda,2100,Mumias,East Wanga,Lubinu,Lubinu
Mushikulu  A,2101,Mumias,East Wanga,Lubinu,Lubinu
Mushikulu  B,2102,Mumias,East Wanga,Lubinu,Lubinu
Mushirongo,2103,Mumias,East Wanga,Lubinu,Lubinu
Mwisasia,2104,Mumias,East Wanga,Lubinu,Lubinu
Shianda  Town  A,2105,Mumias,East Wanga,Lubinu,Lubinu
Shianda  Town  B,2106,Mumias,East Wanga,Lubinu,Lubinu
Shibinga  A,2107,Mumias,East Wanga,Lubinu,Lubinu
Shitoto  A,2108,Mumias,East Wanga,Lubinu,Lubinu
Shitoto  B,2109,Mumias,East Wanga,Lubinu,Lubinu
Emayira,2111,Mumias,East Wanga,Lubinu,Shibinga
Inaya,2112,Mumias,East Wanga,Lubinu,Shibinga
Indangalasia  A,2114,Mumias,East Wanga,Lubinu,Shibinga
Indangalasia  B,2115,Mumias,East Wanga,Lubinu,Shibinga
Indoli,2116,Mumias,East Wanga,Lubinu,Shibinga
Mufisi,2117,Mumias,East Wanga,Lubinu,Shibinga
Mwitibira,2118,Mumias,East Wanga,Lubinu,Shibinga
Shianda  Ingo,2119,Mumias,East Wanga,Lubinu,Shibinga
Shibinga  B,2120,Mumias,East Wanga,Lubinu,Shibinga
Buchimbe,2121,Mumias,East Wanga,Lusheya,Emakhwale
Butunyi,2122,Mumias,East Wanga,Lusheya,Emakhwale
Ebutingo,2123,Mumias,East Wanga,Lusheya,Emakhwale
Ebutobe,2124,Mumias,East Wanga,Lusheya,Emakhwale
Emakombe,2126,Mumias,East Wanga,Lusheya,Emakhwale
Emalishira,2127,Mumias,East Wanga,Lusheya,Emakhwale
Ematsanza,2128,Mumias,East Wanga,Lusheya,Emakhwale
Emwaku,2129,Mumias,East Wanga,Lusheya,Emakhwale
Eshiokomolo,2130,Mumias,East Wanga,Lusheya,Emakhwale
Khabunene,2131,Mumias,East Wanga,Lusheya,Emakhwale
Kisumu  Ndogo,2132,Mumias,East Wanga,Lusheya,Emakhwale
Mulusiola,2133,Mumias,East Wanga,Lusheya,Emakhwale
Mwikali,2134,Mumias,East Wanga,Lusheya,Emakhwale
Mwimanye,2135,Mumias,East Wanga,Lusheya,Emakhwale
Mwitokolo,2136,Mumias,East Wanga,Lusheya,Emakhwale
Mwitoti  A,2137,Mumias,East Wanga,Lusheya,Emakhwale
Mwitoti  B,2138,Mumias,East Wanga,Lusheya,Emakhwale
Ekwenderesio,2139,Mumias,East Wanga,Lusheya,Lusheya
Emuberi,2140,Mumias,East Wanga,Lusheya,Lusheya
Eshitoyi,2141,Mumias,East Wanga,Lusheya,Lusheya
Indangalasia,2142,Mumias,East Wanga,Lusheya,Lusheya
Indangalasia  B,2143,Mumias,East Wanga,Lusheya,Lusheya
Indoli,2144,Mumias,East Wanga,Lusheya,Lusheya
Khulwanda,2145,Mumias,East Wanga,Lusheya,Lusheya
Khwihondwe,2146,Mumias,East Wanga,Lusheya,Lusheya
Lusheya  East,2147,Mumias,East Wanga,Lusheya,Lusheya
Lusheya  West,2148,Mumias,East Wanga,Lusheya,Lusheya
Mukhuyu,2149,Mumias,East Wanga,Lusheya,Lusheya
Mulufu,2150,Mumias,East Wanga,Lusheya,Lusheya
Musoma,2151,Mumias,East Wanga,Lusheya,Lusheya
Mwichina,2152,Mumias,East Wanga,Lusheya,Lusheya
Mwikunda,2153,Mumias,East Wanga,Lusheya,Lusheya
Mwiyala,2154,Mumias,East Wanga,Lusheya,Lusheya
Shianderema,2155,Mumias,East Wanga,Lusheya,Lusheya
Shibinga,2156,Mumias,East Wanga,Lusheya,Lusheya
Wetsetse,2157,Mumias,East Wanga,Lusheya,Lusheya
Chevoso,2158,Kakamega North,South Kabras,SHIANDA,Chevoso
Ichemo,2159,Kakamega North,South Kabras,SHIANDA,Chevoso
Makale,2160,Kakamega North,South Kabras,SHIANDA,Chevoso
Muhonje,2161,Kakamega North,South Kabras,SHIANDA,Chevoso
Mulwanda,2162,Kakamega North,South Kabras,SHIANDA,Chevoso
Mundoli,2163,Kakamega North,South Kabras,SHIANDA,Chevoso
Musali,2164,Kakamega North,South Kabras,SHIANDA,Chevoso
Mwiyala,2165,Kakamega North,South Kabras,SHIANDA,Chevoso
West Kenya,2166,Kakamega North,South Kabras,SHIANDA,Chevoso
Busokho,2167,Kakamega North,South Kabras,SHIANDA,Ifwetere
Ifwetere,2168,Kakamega North,South Kabras,SHIANDA,Ifwetere
Isanjiro,2169,Kakamega North,South Kabras,SHIANDA,Ifwetere
Lumunyasi,2170,Kakamega North,South Kabras,SHIANDA,Ifwetere
Matende,2171,Kakamega North,South Kabras,SHIANDA,Ifwetere
Mukangu,2172,Kakamega North,South Kabras,SHIANDA,Ifwetere
Chiliva,2173,Kakamega North,South Kabras,SHIANDA,Lunyinya
Lunyinya,2174,Kakamega North,South Kabras,SHIANDA,Lunyinya
Mukaya,2175,Kakamega North,South Kabras,SHIANDA,Lunyinya
Shihome/Ngaywa,2176,Kakamega North,South Kabras,SHIANDA,Lunyinya
Shiyenga,2177,Kakamega North,South Kabras,SHIANDA,Lunyinya
Bukhakunga 'A',2178,Kakamega North,South Kabras,SHIANDA,Sasala
Bukhakunga 'B',2179,Kakamega North,South Kabras,SHIANDA,Sasala
Chombeli,2180,Kakamega North,South Kabras,SHIANDA,Sasala
Imbinga,2181,Kakamega North,South Kabras,SHIANDA,Sasala
Malimali,2182,Kakamega North,South Kabras,SHIANDA,Sasala
Shilalunga 'A',2183,Kakamega North,South Kabras,SHIANDA,Sasala
Shilalunga 'B',2184,Kakamega North,South Kabras,SHIANDA,Sasala
Luhokho,2185,Kakamega North,South Kabras,SHIANDA,Shamberere
Mukomari,2186,Kakamega North,South Kabras,SHIANDA,Shamberere
Sasala,2187,Kakamega North,South Kabras,SHIANDA,Shamberere
Shamberere,2188,Kakamega North,South Kabras,SHIANDA,Shamberere
Kwava,2189,Kakamega North,South Kabras,SHIANDA,Shamoni
Lukunza,2190,Kakamega North,South Kabras,SHIANDA,Shamoni
